"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 27 15:36:51 IST 2023","Mon Feb 27 15:36:51 IST 2023","1","","Checking calculator functionality: Verify user can perform multiple operation","","Checking calculator functionality: Verify user can perform multiple operation","","",""
"passed","Mon Feb 27 15:36:51 IST 2023","Mon Feb 27 15:36:51 IST 2023","115","","Checking calculator functionality: Verify user can perform multiple operation","","Checking calculator functionality: Verify user can perform multiple operation","Then User verifies ""3""","Then User verifies ""3""",""
"passed","Mon Feb 27 15:36:48 IST 2023","Mon Feb 27 15:36:48 IST 2023","93","","Checking calculator functionality: Verify user can perform multiple operation","","Checking calculator functionality: Verify user can perform multiple operation","Then User verifies ""9""","Then User verifies ""9""",""
"passed","Mon Feb 27 15:36:49 IST 2023","Mon Feb 27 15:36:49 IST 2023","106","","Checking calculator functionality: Verify user can perform multiple operation","","Checking calculator functionality: Verify user can perform multiple operation","And User clicks on the ""*""","And User clicks on the ""*""",""
"passed","Mon Feb 27 15:36:48 IST 2023","Mon Feb 27 15:36:49 IST 2023","88","","Checking calculator functionality: Verify user can perform multiple operation","","Checking calculator functionality: Verify user can perform multiple operation","And User clicks on num2 ""3""","And User clicks on num2 ""3""",""
"passed","Mon Feb 27 15:36:50 IST 2023","Mon Feb 27 15:36:51 IST 2023","97","","Checking calculator functionality: Verify user can perform multiple operation","","Checking calculator functionality: Verify user can perform multiple operation","And User clicks on the ""/""","And User clicks on the ""/""",""
"passed","Mon Feb 27 15:36:49 IST 2023","Mon Feb 27 15:36:49 IST 2023","146","","Checking calculator functionality: Verify user can perform multiple operation","","Checking calculator functionality: Verify user can perform multiple operation","When User clicks on num1 ""4""","When User clicks on num1 ""4""",""
"passed","Mon Feb 27 15:36:48 IST 2023","Mon Feb 27 15:36:48 IST 2023","90","","Checking calculator functionality: Verify user can perform multiple operation","","Checking calculator functionality: Verify user can perform multiple operation","And User clicks on the ""-""","And User clicks on the ""-""",""
"passed","Mon Feb 27 15:36:50 IST 2023","Mon Feb 27 15:36:50 IST 2023","708","","Checking calculator functionality: Verify user can perform multiple operation","","Checking calculator functionality: Verify user can perform multiple operation","Given User is on calculator page","Given User is on calculator page",""
"passed","Mon Feb 27 15:36:49 IST 2023","Mon Feb 27 15:36:49 IST 2023","88","","Checking calculator functionality: Verify user can perform multiple operation","","Checking calculator functionality: Verify user can perform multiple operation","And User clicks on num2 ""5""","And User clicks on num2 ""5""",""
"passed","Mon Feb 27 15:36:48 IST 2023","Mon Feb 27 15:36:48 IST 2023","88","","Checking calculator functionality: Verify user can perform multiple operation","","Checking calculator functionality: Verify user can perform multiple operation","And User clicks on the ""+""","And User clicks on the ""+""",""
"passed","Mon Feb 27 15:36:50 IST 2023","Mon Feb 27 15:36:50 IST 2023","118","","Checking calculator functionality: Verify user can perform multiple operation","","Checking calculator functionality: Verify user can perform multiple operation","When User clicks on num1 ""6""","When User clicks on num1 ""6""",""
"passed","Mon Feb 27 15:36:51 IST 2023","Mon Feb 27 15:36:51 IST 2023","99","","Checking calculator functionality: Verify user can perform multiple operation","","Checking calculator functionality: Verify user can perform multiple operation","And User clicks on num2 ""2""","And User clicks on num2 ""2""",""
"passed","Mon Feb 27 15:36:48 IST 2023","Mon Feb 27 15:36:48 IST 2023","88","","Checking calculator functionality: Verify user can perform multiple operation","","Checking calculator functionality: Verify user can perform multiple operation","When User clicks on num1 ""5""","When User clicks on num1 ""5""",""
"passed","Mon Feb 27 15:36:49 IST 2023","Mon Feb 27 15:36:49 IST 2023","100","","Checking calculator functionality: Verify user can perform multiple operation","","Checking calculator functionality: Verify user can perform multiple operation","Then User verifies ""2""","Then User verifies ""2""",""
"passed","Mon Feb 27 15:36:49 IST 2023","Mon Feb 27 15:36:50 IST 2023","116","","Checking calculator functionality: Verify user can perform multiple operation","","Checking calculator functionality: Verify user can perform multiple operation","Then User verifies ""20""","Then User verifies ""20""",""
